category,module_title,module_file,question_id,question_type,question,answers,answer_options
Universal,Universal Phase,Case_Question_design.md,UNIV-1,Multiple choice,Do you have any medical conditions?,"[ ] None [ ] High blood pressure [ ] Diabetes [ ] Heart disease [ ] Stroke [ ] Lung disease (asthma, COPD) [ ] Kidney disease [ ] Other condition  [ ] Not sure","None; HTN; DM; Heart disease; Stroke; Lung disease; Kidney disease; Other condition; Not sure"
Universal,Universal Phase,Case_Question_design.md,UNIV-3,Multiple choice,Are you taking any medicines now?,"[ ] No [ ] Blood thinner [ ] Blood pressure medicine [ ] Diabetes medicine [ ] Pain medicine [ ] Antibiotic [ ] Steroid [ ] Other medicine [ ] Not sure","No; blood thinner; blood pressure medicine; diabetes medicine; pain medicine; antibiotic; steroid; other medicine; not sure"
Universal,Universal Phase,Case_Question_design.md,UNIV-4,Multiple choice,Do you have any medicine allergy?,"[ ] No known medicine allergy [ ] Antibiotic allergy [ ] Pain medicine allergy [ ] Contrast dye allergy [ ] Vaccine allergy [ ] Other medicine allergy [ ] Not sure","no known medicine allergy; antibiotic allergy; pain medicine allergy; contrast dye allergy; vaccine allergy; other medicine allergy; not sure"
